scorer,,,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David
bodyparts,,,nose,nose,ear_left,ear_left,ear_right,ear_right,tail_base,tail_base,lever_tip,lever_tip,upper_lever_tip,upper_lever_tip,stick_head,stick_head,ball,ball,sliding_door,sliding_door
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,E1_front,img07033.png,623.970615130818,379.2620268268661,599.7646272752137,297.2045915157261,564.4243332876192,275.54441132978116,367.1217373591365,418.1466913497663,518.0451277154511,110.16656708452855,,,253.75490217331372,440.3649224415128,687.5983198243529,416.2856863100836,750.7570110495219,407.74248169991574
labeled-data,E1_front,img07615.png,803.3274014271225,432.4694478191075,862.4803720498121,326.29110306122516,796.3973462914098,302.77841599362887,660.2712632684838,334.2111660734682,530.0080039899572,111.95553076650182,490.4861648790532,314.70334697094535,255.2671884253159,439.12419551983334,686.8568326765924,419.16616083073177,747.1369898345274,402.9368877497493
labeled-data,E1_front,img07675.png,734.3730869555263,442.35381601019867,821.7366740573925,311.360135202247,739.963387408553,289.25924691877685,,,529.2645307796462,112.63183393596303,491.2059995921454,315.31595939533787,253.73002043525423,441.0182324538317,683.8660648540365,417.6025484399172,,
labeled-data,E1_front,img10820.png,672.4566131211413,350.3535576450116,582.1816503928347,265.97978197864825,631.6775353995092,265.5256912905136,414.16809578302235,424.00334144949875,529.1485914192341,113.79379985068712,,,172.2577253777087,446.843763275579,686.7066062818423,418.2943734834226,746.6043546101621,402.62019635077814
labeled-data,E1_front,img11181.png,648.9567494217703,397.5051570384718,709.842233828388,265.3391055216673,614.5539757123397,271.27915278084953,,,528.3353084792471,111.77388069392634,490.5241945736636,317.91243664347104,170.927288317162,448.206820232995,685.7631897071576,417.6163192305485,751.1522487985441,407.172233403452
labeled-data,E1_front,img12791.png,320.875559450658,415.15182697731893,411.28194163487126,317.2317776410665,330.32823748064277,319.65554123849853,,,529.8676163384171,111.58648872041555,,,156.65934249633384,449.51263746461143,685.5947453282413,417.7997596799155,751.4315096130824,406.97326955307494
labeled-data,E1_front,img13908.png,617.096240375497,448.05805359263786,669.907507386442,310.48405458036933,583.7699436821683,305.6409787094463,,,527.3630349033571,112.40517988571408,481.5530563705248,317.64823025823887,106.36286495461754,451.2340689446498,685.5244989409624,419.4757446141026,746.5592446500038,408.8734648430485
labeled-data,E1_front,img14139.png,,,317.4258083651546,228.2751675739757,403.13856780167396,224.64355869666892,389.4513449269119,420.99827649530886,541.2609884065861,438.8579951468291,508.90033239872685,112.76379506629547,106.21777759550561,447.8676011692876,684.1700764883185,420.0469240660756,754.0919577026104,406.9037133115094
labeled-data,E1_front,img15806.png,570.6127355688668,420.57265249625823,673.9577982880141,311.5821388246177,593.3944553836601,310.7111837661923,,,536.5932559317457,454.6096524643226,501.1554873910155,112.80822443392093,74.26401311292778,457.1603381815752,589.1495023449727,468.4311785098329,,
