scorer,,,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David
bodyparts,,,nose,nose,ear_left,ear_left,ear_right,ear_right,tail_base,tail_base,lever_tip,lever_tip,upper_lever_tip,upper_lever_tip,stick_head,stick_head,ball,ball,sliding_door,sliding_door
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,E2_top,img05903.png,282.02892460987925,282.7007506556365,329.80384864586665,277.8787383989964,314.7497402820801,234.2130269361683,452.71883087574645,261.6357756570073,330.68340352905557,340.355732175267,338.56619331124705,534.1796291892596,498.0767630214751,216.5495632432004,250.46442515734202,213.30370862700397,209.659395696586,241.58901313957347
labeled-data,E2_top,img06036.png,328.36493594605804,284.24881666672746,406.37676484029987,246.07102423669207,357.1734713678566,228.43984407573328,337.09760551069104,159.08523906286615,334.3504143476762,219.232817304398,335.27780138087513,471.482090334526,496.64314515750124,215.0595756550025,250.42188784316664,212.2774145554055,209.15316486581114,240.562719067975
labeled-data,E2_top,img06160.png,282.29641349746925,295.2009912677523,318.9938698789998,285.1553188504618,315.30362286856655,253.17317809337374,470.2539685528957,260.36580572880644,341.991000431442,193.03715090845387,320.92728719155514,338.60245490552893,497.33588557560734,217.10996603975312,247.2042908519512,210.33948678407518,208.4621040000165,241.55891890747887
labeled-data,E2_top,img08250.png,461.9789383515116,211.8440377297814,419.09923639888484,194.54170185416007,414.2094458253397,238.54981701606647,257.3600097354681,219.3667924583124,,,332.5875570207782,337.0979039598227,504.1063648312853,213.72472641191416,248.70884179765744,212.5963132026345,209.59051720929617,246.0725717445975
labeled-data,E2_top,img14220.png,344.1182111277119,472.618538594127,347.6565148763874,527.9677186626934,386.32512012976935,504.9687442963028,,,326.6037511737692,336.21580789086414,,,505.44136152947135,217.85190378636034,248.22987987334812,213.88541593163956,208.8701157765036,242.5661742657743
labeled-data,E2_top,img17329.png,263.59954737971475,323.87846197085344,244.1232437135393,358.5257811243655,285.1259882739086,355.4505752823378,251.12356006819988,513.9175988811245,325.876600407168,335.4256454186901,336.86072062024095,532.5295803532757,518.3468536418713,221.42493635555775,249.6806785633171,210.56396332046722,207.38004674243834,243.14688242573868
labeled-data,E2_top,img17869.png,275.8788249532481,223.4561236279868,317.83300568614743,193.3805417642452,281.18628828915143,163.3049599005037,,,321.44848488441505,331.4689798974261,336.8824991974384,531.5395358069878,582.1118377265868,217.7145781088468,,,208.28718898271705,249.7003962923805
labeled-data,E2_top,img18959.png,294.0662077020052,211.01069362326774,272.0385324492044,175.86541400643955,249.26835128900586,208.5356739319418,,,322.41479475388724,332.56551304656193,336.0436758620272,534.0519445641982,594.6240575375349,218.74593838669057,400.13625188409065,149.86483656987525,207.85852381790028,227.21794556202082
